298.15	2.9512	0.4535

304.15	0.5653	0.0916

304.15	2.8829	0.4018

304.15	0.7774	0.1246

304.15	3.4849	0.4409

304.15	1.4679	0.2331

304.15	4.4327	0.4465

304.15	2.2804	0.3507

310.15	0.7591	0.0897

310.15	3.5595	0.364

310.15	1.0747	0.1206

310.15	4.1266	0.4089

310.15	2.0115	0.2182

310.15	4.6402	0.427

310.15	2.9984	0.318

316.15	1.0948	0.0853

316.15	4.3298	0.3235

316.15	1.508	0.1132

316.15	4.7023	0.3454

316.15	2.6504	0.2012

316.15	4.7865	0.3572

316.15	3.8004	0.2876

316.15	5.3335	0.3827

323.15	1.5294	0.0794

323.15	4.7954	0.2366

323.15	2.0491	0.1037

323.15	5.3003	0.263

323.15	3.4923	0.1744

338.15	2.8814	0.0638

338.15	5.3634	0.1191

338.15	3.7069	0.0786
